Symptoms,Medicines
"runny nose, body pain, sneezing","cetirizine, diclofenac"
"body pain, headache, sneezing, inflammation, acidity","cetirizine, diclofenac, aciloc"
"cold, cough, runny nose","cetirizine, azithromycin"
fever,paracetamol
"swelling, inflammation, fever, runny nose","paracetamol, cetirizine, diclofenac"
"body pain, stomach pain, cold, sore throat, swelling","cetirizine, azithromycin, diclofenac, aciloc"
runny nose,cetirizine
"allergy, body pain, cold","cetirizine, diclofenac"
sneezing,cetirizine
cold,cetirizine
"allergy, acidity, body pain, stomach pain","cetirizine, diclofenac, aciloc"
"cough, headache, sneezing, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, runny nose, acidity, bacterial infection, allergy","cetirizine, azithromycin, diclofenac, aciloc"
"headache, inflammation, fever, cough","paracetamol, azithromycin, diclofenac"
"fever, headache, swelling","paracetamol, diclofenac"
"stomach pain, headache, allergy","cetirizine, diclofenac, aciloc"
"runny nose, fever, swelling, acidity, headache","paracetamol, cetirizine, diclofenac, aciloc"
"sore throat, acidity, headache","azithromycin, diclofenac, aciloc"
"bacterial infection, swelling, sneezing, cold","cetirizine, azithromycin, diclofenac"
"sneezing, stomach pain","cetirizine, aciloc"
stomach pain,aciloc
"swelling, bacterial infection","azithromycin, diclofenac"
bacterial infection,azithromycin
"cold, allergy, body pain, headache","cetirizine, diclofenac"
fever,paracetamol
"body pain, runny nose, sneezing, acidity, fever","paracetamol, cetirizine, aciloc"
"swelling, bacterial infection, allergy, sneezing, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"inflammation, acidity, body pain, fever, sore throat","paracetamol, azithromycin, diclofenac, aciloc"
sore throat,azithromycin
"bacterial infection, runny nose, inflammation, stomach pain, cold","cetirizine, azithromycin, diclofenac, aciloc"
"cough, acidity","azithromycin, aciloc"
"swelling, acidity, runny nose, allergy","cetirizine, diclofenac, aciloc"
"bacterial infection, cough",azithromycin
"body pain, sore throat, headache","azithromycin, diclofenac"
"sneezing, runny nose, headache, inflammation, swelling","cetirizine, diclofenac"
stomach pain,aciloc
"acidity, body pain, cold, cough, stomach pain","cetirizine, azithromycin, diclofenac, aciloc"
"sore throat, headache","azithromycin, diclofenac"
"sneezing, cold, acidity","cetirizine, aciloc"
"swelling, bacterial infection","azithromycin, diclofenac"
"inflammation, swelling",diclofenac
headache,diclofenac
"headache, cold, body pain, sore throat","cetirizine, azithromycin, diclofenac"
"sneezing, bacterial infection","cetirizine, azithromycin"
"acidity, cough, runny nose, headache","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, headache, fever","paracetamol, diclofenac"
"body pain, bacterial infection, sore throat, cough","azithromycin, diclofenac"
"body pain, runny nose, sneezing, swelling, sore throat","cetirizine, azithromycin, diclofenac"
"sore throat, body pain, runny nose","cetirizine, azithromycin, diclofenac"
"body pain, headache, stomach pain, cough","azithromycin, diclofenac, aciloc"
"acidity, cough","azithromycin, aciloc"
"headache, inflammation",diclofenac
"body pain, stomach pain, sore throat","azithromycin, diclofenac, aciloc"
cold,cetirizine
"cold, cough, sneezing, stomach pain","cetirizine, azithromycin, aciloc"
"runny nose, cold, sore throat, bacterial infection","cetirizine, azithromycin"
"swelling, cold, stomach pain","cetirizine, diclofenac, aciloc"
"stomach pain, allergy, headache, body pain, acidity","cetirizine, diclofenac, aciloc"
"headache, runny nose, cold, sore throat, bacterial infection","cetirizine, azithromycin, diclofenac"
"swelling, inflammation, cold","cetirizine, diclofenac"
inflammation,diclofenac
allergy,cetirizine
"bacterial infection, fever, body pain, allergy, sore throat","paracetamol, cetirizine, azithromycin"
"inflammation, body pain, bacterial infection","azithromycin, diclofenac"
stomach pain,aciloc
"cough, allergy, headache","cetirizine, azithromycin, diclofenac"
"acidity, body pain, cold, swelling, runny nose","cetirizine, diclofenac, aciloc"
"headache, allergy, runny nose","cetirizine, diclofenac"
"allergy, fever","paracetamol, cetirizine"
"headache, stomach pain, cold","cetirizine, diclofenac, aciloc"
swelling,diclofenac
"cough, runny nose, stomach pain","cetirizine, azithromycin, aciloc"
"fever, headache, cold, acidity, allergy","paracetamol, cetirizine, aciloc"
"inflammation, fever, acidity","paracetamol, diclofenac, aciloc"
"sore throat, bacterial infection, fever, sneezing","paracetamol, cetirizine, azithromycin"
"body pain, runny nose, bacterial infection, allergy","cetirizine, azithromycin, diclofenac"
"inflammation, cold, runny nose, body pain, stomach pain","cetirizine, diclofenac, aciloc"
"cold, stomach pain, sneezing","cetirizine, aciloc"
"swelling, sore throat","azithromycin, diclofenac"
"fever, runny nose, cough, cold, bacterial infection","paracetamol, cetirizine, azithromycin"
"swelling, allergy","cetirizine, diclofenac"
"runny nose, fever","paracetamol, cetirizine"
"cold, cough, stomach pain, runny nose","cetirizine, azithromycin, aciloc"
"cold, swelling","cetirizine, diclofenac"
"sneezing, acidity, headache, bacterial infection, body pain","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, acidity, inflammation, sneezing, cough","cetirizine, azithromycin, diclofenac, aciloc"
"sneezing, acidity","cetirizine, aciloc"
runny nose,cetirizine
"inflammation, swelling",diclofenac
"body pain, stomach pain, bacterial infection, sneezing","cetirizine, azithromycin, diclofenac, aciloc"
"sneezing, sore throat, cough, cold, bacterial infection","cetirizine, azithromycin"
"allergy, body pain","cetirizine, diclofenac"
"sore throat, bacterial infection",azithromycin
"stomach pain, allergy, body pain, runny nose, fever","paracetamol, cetirizine, aciloc"
cough,azithromycin
"fever, sore throat, swelling, inflammation","paracetamol, azithromycin, diclofenac"
"cold, sore throat","cetirizine, azithromycin"
"runny nose, headache","cetirizine, diclofenac"
"bacterial infection, inflammation, swelling, allergy","cetirizine, azithromycin, diclofenac"
"runny nose, cough, fever","paracetamol, cetirizine, azithromycin"
fever,paracetamol
"sneezing, acidity, cough, swelling, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, runny nose, body pain","cetirizine, diclofenac"
"sore throat, headache","azithromycin, diclofenac"
stomach pain,aciloc
headache,diclofenac
"cold, cough, bacterial infection, headache","cetirizine, azithromycin, diclofenac"
body pain,diclofenac
"body pain, cough","azithromycin, diclofenac"
"allergy, fever","paracetamol, cetirizine"
"inflammation, runny nose, stomach pain, fever, cough","azithromycin, aciloc, paracetamol, cetirizine, diclofenac"
acidity,aciloc
"cough, bacterial infection, fever, allergy","paracetamol, cetirizine, azithromycin"
"cold, acidity","cetirizine, aciloc"
"sore throat, swelling, headache","azithromycin, diclofenac"
"swelling, headache, inflammation",diclofenac
inflammation,diclofenac
sore throat,azithromycin
fever,paracetamol
"headache, fever, cold, swelling","paracetamol, cetirizine, diclofenac"
body pain,diclofenac
"fever, body pain, headache, inflammation","paracetamol, diclofenac"
allergy,cetirizine
"bacterial infection, sore throat, headache, stomach pain","azithromycin, diclofenac, aciloc"
cough,azithromycin
fever,paracetamol
swelling,diclofenac
"allergy, stomach pain, fever, swelling, runny nose","paracetamol, cetirizine, diclofenac, aciloc"
swelling,diclofenac
"allergy, headache","cetirizine, diclofenac"
"runny nose, inflammation, cough, headache, cold","cetirizine, azithromycin, diclofenac"
"stomach pain, acidity",aciloc
headache,diclofenac
allergy,cetirizine
"sneezing, runny nose",cetirizine
"fever, bacterial infection, headache, swelling, cold","paracetamol, cetirizine, azithromycin, diclofenac"
"acidity, bacterial infection, runny nose, swelling, sore throat","cetirizine, azithromycin, diclofenac, aciloc"
"allergy, cough, sore throat","cetirizine, azithromycin"
"fever, swelling","paracetamol, diclofenac"
"body pain, acidity, inflammation, sore throat, headache","azithromycin, diclofenac, aciloc"
allergy,cetirizine
"sore throat, stomach pain, cold, body pain, cough","cetirizine, azithromycin, diclofenac, aciloc"
stomach pain,aciloc
"cold, sneezing, fever, swelling, bacterial infection","paracetamol, cetirizine, azithromycin, diclofenac"
stomach pain,aciloc
"swelling, cold","cetirizine, diclofenac"
"inflammation, allergy","cetirizine, diclofenac"
"acidity, cold","cetirizine, aciloc"
"sneezing, fever, headache","paracetamol, cetirizine"
runny nose,cetirizine
"inflammation, sore throat","azithromycin, diclofenac"
"stomach pain, sore throat, body pain, cold, allergy","cetirizine, azithromycin, diclofenac, aciloc"
"cough, sneezing","cetirizine, azithromycin"
"sneezing, stomach pain, inflammation, runny nose","cetirizine, diclofenac, aciloc"
cough,azithromycin
"sore throat, runny nose, bacterial infection","cetirizine, azithromycin"
runny nose,cetirizine
"bacterial infection, sneezing","cetirizine, azithromycin"
"sore throat, inflammation","azithromycin, diclofenac"
"sneezing, inflammation, swelling, cold, bacterial infection","cetirizine, azithromycin, diclofenac"
"body pain, swelling, bacterial infection, runny nose, sneezing","cetirizine, azithromycin, diclofenac"
"acidity, stomach pain, cold","cetirizine, aciloc"
"sneezing, runny nose, allergy",cetirizine
inflammation,diclofenac
"allergy, acidity, sneezing, cold","cetirizine, aciloc"
bacterial infection,azithromycin
runny nose,cetirizine
sneezing,cetirizine
"runny nose, acidity, sore throat, cough, headache","cetirizine, azithromycin, diclofenac, aciloc"
sore throat,azithromycin
"swelling, bacterial infection, stomach pain","azithromycin, diclofenac, aciloc"
"acidity, headache, bacterial infection, sore throat, cough","azithromycin, diclofenac, aciloc"
"sneezing, fever, sore throat","paracetamol, cetirizine, azithromycin"
bacterial infection,azithromycin
allergy,cetirizine
"sneezing, inflammation, allergy, sore throat","cetirizine, azithromycin, diclofenac"
"cold, fever, bacterial infection, cough, runny nose","paracetamol, cetirizine, azithromycin"
"cold, acidity, cough, allergy, sneezing","cetirizine, azithromycin, aciloc"
"runny nose, cold, inflammation","cetirizine, diclofenac"
"headache, acidity, cold","cetirizine, diclofenac, aciloc"
"stomach pain, sore throat","azithromycin, aciloc"
"stomach pain, inflammation","diclofenac, aciloc"
"cough, sore throat, bacterial infection, stomach pain, swelling","azithromycin, diclofenac, aciloc"
"stomach pain, sore throat, sneezing, headache","cetirizine, azithromycin, diclofenac, aciloc"
"sneezing, acidity, fever, cold","paracetamol, cetirizine, aciloc"
"headache, inflammation, sneezing, allergy, cold","cetirizine, diclofenac"
"headache, cough, sneezing, body pain, allergy","cetirizine, azithromycin, diclofenac"
sneezing,cetirizine
sneezing,cetirizine
"swelling, stomach pain, fever","paracetamol, diclofenac, aciloc"
"body pain, sneezing","cetirizine, diclofenac"
"inflammation, sneezing","cetirizine, diclofenac"
"fever, cough","paracetamol, azithromycin"
headache,diclofenac
"body pain, sore throat, cold, runny nose, sneezing","cetirizine, azithromycin, diclofenac"
acidity,aciloc
"bacterial infection, stomach pain","azithromycin, aciloc"
allergy,cetirizine
"swelling, body pain",diclofenac
"runny nose, acidity, allergy, bacterial infection, body pain","cetirizine, azithromycin, diclofenac, aciloc"
"bacterial infection, sore throat, runny nose","cetirizine, azithromycin"
"headache, swelling, cold, inflammation, sneezing","cetirizine, diclofenac"
sore throat,azithromycin
"cold, fever","paracetamol, cetirizine"
"cold, sneezing, headache","cetirizine, diclofenac"
"body pain, headache, acidity, allergy","cetirizine, diclofenac, aciloc"
"allergy, inflammation","cetirizine, diclofenac"
"fever, acidity","paracetamol, aciloc"
"headache, cold, fever, sore throat","paracetamol, cetirizine, azithromycin"
cough,azithromycin
"inflammation, allergy, body pain, fever, cold","paracetamol, cetirizine, diclofenac"
"sore throat, runny nose, inflammation, body pain","cetirizine, azithromycin, diclofenac"
"acidity, sneezing, fever, inflammation","paracetamol, cetirizine, diclofenac, aciloc"
"allergy, inflammation, cold, runny nose","cetirizine, diclofenac"
"runny nose, headache","cetirizine, diclofenac"
allergy,cetirizine
"cold, acidity, sore throat","cetirizine, azithromycin, aciloc"
"cold, runny nose",cetirizine
"allergy, headache, runny nose, stomach pain","cetirizine, diclofenac, aciloc"
cold,cetirizine
"acidity, stomach pain, cough, runny nose","cetirizine, azithromycin, aciloc"
runny nose,cetirizine
"allergy, sore throat, inflammation","cetirizine, azithromycin, diclofenac"
"sneezing, body pain, fever, sore throat","paracetamol, cetirizine, azithromycin"
cold,cetirizine
"body pain, inflammation, acidity, sore throat","azithromycin, diclofenac, aciloc"
"cough, body pain, swelling, runny nose","cetirizine, azithromycin, diclofenac"
"inflammation, runny nose, sore throat","cetirizine, azithromycin, diclofenac"
"cough, fever, sneezing, runny nose","paracetamol, cetirizine, azithromycin"
inflammation,diclofenac
"runny nose, sneezing, body pain, headache, acidity","cetirizine, diclofenac, aciloc"
"bacterial infection, acidity, sneezing, cold","cetirizine, azithromycin, aciloc"
"body pain, cough, sore throat, allergy, swelling","cetirizine, azithromycin, diclofenac"
"swelling, cough, inflammation","azithromycin, diclofenac"
"acidity, bacterial infection, allergy","cetirizine, azithromycin, aciloc"
"bacterial infection, runny nose, acidity, sore throat, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
"runny nose, acidity, allergy, headache, stomach pain","cetirizine, diclofenac, aciloc"
"sore throat, inflammation","azithromycin, diclofenac"
runny nose,cetirizine
"stomach pain, allergy, acidity, cough, body pain","cetirizine, azithromycin, diclofenac, aciloc"
"sore throat, swelling, cold, sneezing","cetirizine, azithromycin, diclofenac"
"fever, body pain, stomach pain","paracetamol, aciloc"
sneezing,cetirizine
"body pain, acidity","diclofenac, aciloc"
swelling,diclofenac
"sneezing, sore throat, bacterial infection, swelling, body pain","cetirizine, azithromycin, diclofenac"
"stomach pain, sneezing","cetirizine, aciloc"
"acidity, sneezing, stomach pain","cetirizine, aciloc"
sneezing,cetirizine
"body pain, stomach pain, allergy","cetirizine, diclofenac, aciloc"
